,precision,recall,f1-score,support
0,0.9997709008881996,0.9976610861001688,0.9987148792338568,56864.0
1,0.38990825688073394,0.8673469387755102,0.5379746835443038,98.0
accuracy,0.9974368877497279,0.9974368877497279,0.9974368877497279,0.9974368877497279
macro avg,0.6948395788844668,0.9325040124378394,0.7683447813890802,56962.0
weighted avg,0.9987216656241159,0.9974368877497279,0.9979222009715489,56962.0
