,RandomForest,GradientBoosting
Accuracy,0.9984199992977775,0.9974368877497279
Precision,0.5240963855421686,0.38990825688073394
Recall,0.8877551020408163,0.8673469387755102
F1 Score,0.6590909090909091,0.5379746835443038
AUC,0.9810315410632456,0.9614825706591021
