,precision,recall,f1-score,support
0,0.9998063243890415,0.9986107203151379,0.999208164701742,56864.0
1,0.5240963855421686,0.8877551020408163,0.6590909090909091,98.0
accuracy,0.9984199992977775,0.9984199992977775,0.9984199992977775,0.9984199992977775
macro avg,0.7619513549656051,0.943182911177977,0.8291495368963255,56962.0
weighted avg,0.9989878915038375,0.9984199992977775,0.9986230115987986,56962.0
